,Platform,Active_Users_M,Avg_Rating,Problems_Count,Problems_Difficulty,Job_Integration,Contest_Frequency,Pricing_Model,Founded_Year,Mobile_App_Available,Certifications_Offered,Learning_Paths,Forum_Activity_Level,Platform_Score
84,HackerRank,24.6,4.2,1458,Medium,Yes,Biweekly,Free,2018,True,False,9,High,118
85,LeetCode,14.4,4.7,3244,Varied,Yes,Occasionally,Freemium,2016,True,True,9,High,114
86,HackerRank,18.5,4.8,1307,Hard,Yes,Weekly,Free,2020,False,False,2,Low,99
87,CodeChef,23.5,4.1,550,Medium,Limited,Weekly,Paid,2009,True,True,6,High,110
88,HackerRank,24.0,4.4,688,Varied,Yes,Weekly,Free,2010,True,False,4,High,111
89,LeetCode,19.1,3.8,2155,Easy,Yes,Weekly,Freemium,2014,True,True,2,Low,97
90,HackerRank,7.8,4.2,559,Easy,No,Weekly,Paid,2021,False,True,6,High,83
91,CodeChef,28.6,4.0,650,Varied,Yes,Weekly,Paid,2007,False,True,2,Medium,112
92,Codeforces,12.0,3.9,3270,Hard,Limited,Weekly,Free,2010,True,True,4,Medium,86
93,LeetCode,6.1,3.9,1654,Easy,No,Occasionally,Freemium,2013,False,False,7,Medium,72
94,LeetCode,11.4,4.7,3336,Hard,Yes,Monthly,Paid,2022,False,True,8,Medium,102
95,CodeChef,16.9,4.0,3738,Hard,Limited,Monthly,Free,2008,True,False,6,Low,88
96,LeetCode,28.6,4.5,2978,Varied,Limited,Occasionally,Paid,2021,False,True,3,Low,109
97,HackerRank,29.9,4.7,3625,Easy,No,Weekly,Free,2010,False,False,8,High,121
98,CodeChef,10.3,4.8,1985,Varied,Limited,Biweekly,Paid,2016,True,True,10,Medium,101
99,Codeforces,17.2,3.7,3579,Easy,Yes,Monthly,Freemium,2019,True,True,3,Low,92
100,LeetCode,1.8,4.2,833,Easy,Limited,Monthly,Free,2019,True,True,3,Low,67
101,HackerRank,29.5,4.6,3517,Varied,No,Monthly,Free,2006,False,False,10,Medium,118
102,Codeforces,19.4,4.8,2584,Hard,Limited,Weekly,Free,2014,False,False,6,Low,103
103,Codeforces,20.4,4.0,2061,Varied,Limited,Occasionally,Freemium,2012,True,False,10,Medium,106
104,LeetCode,7.8,4.1,2846,Hard,Yes,Biweekly,Freemium,2010,True,True,6,High,93
105,LeetCode,21.2,4.8,3929,Medium,Limited,Weekly,Paid,2007,True,True,10,High,122
106,LeetCode,17.1,4.8,3070,Hard,Yes,Weekly,Freemium,2022,True,False,8,High,115
107,LeetCode,17.3,4.1,1364,Medium,Yes,Monthly,Freemium,2015,True,True,2,High,98
108,LeetCode,29.2,4.7,1375,Varied,No,Occasionally,Paid,2022,True,False,6,Medium,110
109,Codeforces,9.1,4.3,709,Hard,Yes,Occasionally,Paid,2005,True,False,8,Low,88
110,HackerRank,7.6,3.9,3082,Hard,Limited,Biweekly,Freemium,2018,False,False,1,High,70
111,CodeChef,10.4,3.9,1227,Medium,No,Occasionally,Free,2015,True,False,5,Low,71
112,HackerRank,29.4,3.8,712,Medium,No,Weekly,Paid,2012,False,True,10,High,119
113,LeetCode,18.5,4.4,2752,Hard,No,Occasionally,Free,2018,True,False,7,Low,92
114,LeetCode,29.6,4.5,3526,Easy,Yes,Monthly,Freemium,2021,True,False,8,High,127
115,HackerRank,20.5,3.7,1554,Hard,Yes,Biweekly,Freemium,2011,False,False,5,Medium,99
116,LeetCode,11.8,5.0,969,Hard,Yes,Weekly,Free,2014,False,True,5,Medium,104
117,LeetCode,5.3,4.9,1920,Hard,Limited,Biweekly,Freemium,2014,True,True,8,Low,92
118,CodeChef,3.2,4.7,2873,Easy,Yes,Occasionally,Paid,2017,True,True,5,Low,82
119,Codeforces,21.4,5.0,2503,Hard,No,Monthly,Paid,2020,False,False,9,Low,105
120,HackerRank,2.1,4.8,3713,Hard,No,Monthly,Freemium,2016,False,False,7,High,77
121,LeetCode,21.9,3.9,3546,Hard,Limited,Biweekly,Paid,2015,True,False,5,Low,93
122,HackerRank,9.4,4.5,3065,Easy,No,Monthly,Free,2009,False,True,10,Medium,92
123,HackerRank,22.3,4.9,1632,Varied,Yes,Weekly,Paid,2018,True,True,9,Low,123
124,HackerRank,5.3,4.0,2434,Hard,Yes,Biweekly,Freemium,2014,False,True,9,High,94
125,CodeChef,23.1,4.5,3449,Hard,Limited,Weekly,Paid,2022,False,True,8,Low,114
126,CodeChef,19.7,4.6,2955,Medium,Yes,Occasionally,Freemium,2022,False,False,8,Low,110
127,LeetCode,16.0,4.8,1295,Easy,No,Occasionally,Free,2014,False,True,8,Medium,101
128,CodeChef,17.7,4.3,3857,Easy,Yes,Biweekly,Free,2014,True,True,5,High,106
129,LeetCode,22.7,4.2,624,Medium,Limited,Occasionally,Freemium,2021,True,False,1,High,95
130,Codeforces,6.1,4.1,3361,Easy,No,Weekly,Free,2019,False,False,9,High,81
131,HackerRank,1.5,3.8,3794,Hard,No,Biweekly,Freemium,2008,False,False,7,Medium,65
132,LeetCode,26.6,3.7,3514,Hard,Limited,Weekly,Paid,2008,True,True,7,High,113
133,Codeforces,5.2,3.7,1609,Easy,Limited,Monthly,Paid,2009,True,True,6,High,76
134,HackerRank,2.4,4.0,3078,Varied,No,Monthly,Freemium,2022,True,False,7,High,70
135,Codeforces,6.4,4.6,721,Hard,Limited,Monthly,Freemium,2011,False,False,3,Low,75
136,CodeChef,1.2,4.9,1493,Varied,No,Occasionally,Freemium,2019,False,False,4,Low,67
137,Codeforces,23.7,4.2,2240,Easy,Limited,Monthly,Free,2016,True,True,5,High,108
138,HackerRank,6.6,3.7,2033,Easy,No,Biweekly,Paid,2014,False,False,8,High,73
139,LeetCode,17.5,4.1,1427,Medium,Limited,Weekly,Freemium,2008,False,False,9,High,105
140,LeetCode,22.2,4.4,2800,Easy,No,Monthly,Paid,2007,False,False,3,Medium,90
141,CodeChef,2.0,4.9,2909,Hard,No,Occasionally,Freemium,2010,True,True,7,Low,79
142,LeetCode,18.4,3.8,3494,Easy,Yes,Monthly,Paid,2017,True,False,3,Low,87
143,CodeChef,17.8,3.7,2964,Hard,Limited,Occasionally,Free,2008,True,True,6,Medium,94
144,CodeChef,24.9,4.2,3527,Easy,No,Occasionally,Free,2009,True,False,6,Medium,99
145,Codeforces,27.0,4.4,3131,Medium,Limited,Weekly,Freemium,2020,True,True,9,Low,124
146,HackerRank,17.9,4.6,1671,Varied,Yes,Weekly,Paid,2022,False,True,1,Low,98
147,LeetCode,19.8,4.5,2114,Easy,Limited,Monthly,Paid,2005,True,True,1,Low,92
148,Codeforces,6.6,3.6,2545,Easy,Limited,Monthly,Paid,2017,True,False,5,Low,66
149,HackerRank,17.2,4.8,2152,Easy,No,Occasionally,Freemium,2018,False,True,6,Medium,101
150,CodeChef,4.5,3.7,2928,Varied,Yes,Monthly,Freemium,2017,True,False,5,High,76
151,Codeforces,28.9,3.6,3661,Easy,No,Weekly,Free,2016,True,False,3,High,98
152,HackerRank,27.4,3.9,580,Easy,Limited,Weekly,Free,2013,True,False,8,Low,110
153,CodeChef,6.0,4.7,1686,Varied,Yes,Monthly,Paid,2015,True,True,4,High,88
154,CodeChef,14.7,4.5,1273,Medium,Limited,Weekly,Freemium,2013,True,True,2,Medium,94
155,LeetCode,10.9,3.9,3572,Easy,Yes,Occasionally,Paid,2014,True,False,1,High,76
156,LeetCode,14.7,4.7,1641,Medium,Limited,Weekly,Free,2021,True,True,8,Medium,106
157,LeetCode,10.5,4.2,561,Hard,Yes,Occasionally,Freemium,2018,False,False,6,Medium,90
158,Codeforces,29.3,3.8,1516,Easy,Yes,Biweekly,Free,2011,False,True,6,Low,116
159,Codeforces,3.1,4.4,2971,Medium,Limited,Monthly,Free,2010,False,False,3,Medium,68
160,CodeChef,3.4,3.9,2448,Varied,Yes,Weekly,Freemium,2012,False,True,4,Medium,80
161,LeetCode,4.7,3.7,1312,Medium,No,Weekly,Freemium,2010,False,True,1,Low,62
162,Codeforces,10.4,4.8,3746,Medium,Yes,Occasionally,Paid,2007,True,True,8,High,104
163,LeetCode,23.5,4.5,1835,Varied,Yes,Weekly,Freemium,2013,False,False,6,Medium,115
164,HackerRank,19.8,4.0,2461,Easy,Limited,Occasionally,Paid,2014,True,False,2,High,88
165,CodeChef,13.9,3.8,3914,Hard,Limited,Occasionally,Free,2012,True,False,2,Low,74
166,LeetCode,17.2,4.8,3427,Varied,Limited,Biweekly,Freemium,2006,False,True,4,Low,101
167,HackerRank,28.9,4.7,1266,Medium,Yes,Weekly,Free,2009,True,True,10,Low,134
168,HackerRank,19.2,3.5,2258,Varied,No,Monthly,Freemium,2006,False,False,5,Low,82
169,HackerRank,8.6,4.3,596,Hard,Limited,Monthly,Paid,2014,False,False,4,Medium,76
170,LeetCode,28.6,3.7,1964,Varied,Yes,Monthly,Paid,2019,False,True,7,Low,114
171,Codeforces,25.5,4.0,944,Hard,No,Biweekly,Freemium,2007,True,False,9,Low,105
172,LeetCode,23.7,3.6,2658,Medium,Yes,Weekly,Free,2014,True,True,9,Low,114
173,CodeChef,8.6,3.7,1871,Easy,Limited,Monthly,Paid,2005,True,False,1,Low,62
174,Codeforces,24.2,3.8,1653,Medium,No,Monthly,Free,2005,True,False,7,Medium,96
175,Codeforces,26.9,4.4,1777,Hard,Yes,Occasionally,Free,2011,True,True,3,High,115
176,HackerRank,12.3,4.1,2839,Hard,Limited,Occasionally,Freemium,2018,False,True,2,Medium,83
177,Codeforces,21.6,4.4,1188,Hard,Yes,Occasionally,Paid,2018,True,True,7,Medium,112
178,LeetCode,14.2,4.5,627,Varied,No,Weekly,Paid,2014,True,False,3,High,84
179,CodeChef,20.5,4.7,3717,Varied,No,Weekly,Free,2017,True,False,4,Low,95
180,CodeChef,18.4,5.0,2321,Medium,Limited,Monthly,Paid,2021,False,True,4,High,105
181,LeetCode,15.2,4.1,1386,Easy,No,Weekly,Paid,2018,False,False,2,Medium,78
182,Codeforces,7.3,4.0,1153,Varied,No,Occasionally,Free,2005,False,False,6,Low,69
183,LeetCode,18.5,4.9,3808,Medium,No,Occasionally,Free,2011,True,True,6,Medium,102
184,LeetCode,8.9,4.8,2960,Varied,No,Occasionally,Free,2014,True,True,2,High,80
185,HackerRank,29.2,4.0,3683,Hard,Limited,Monthly,Freemium,2018,True,True,6,Low,114
186,Codeforces,3.2,3.5,835,Hard,No,Occasionally,Paid,2019,True,False,6,Low,57
187,HackerRank,12.2,3.9,1463,Easy,Yes,Monthly,Freemium,2010,False,True,10,High,104
188,LeetCode,26.6,4.4,1688,Hard,Limited,Weekly,Paid,2012,True,True,2,Medium,108
189,CodeChef,9.3,3.8,2360,Medium,Yes,Biweekly,Free,2011,False,True,2,Medium,80
190,LeetCode,18.9,4.4,3002,Easy,Limited,Biweekly,Paid,2010,True,False,4,High,95
191,Codeforces,28.3,4.4,2983,Varied,Yes,Occasionally,Freemium,2018,True,False,2,Medium,110
192,LeetCode,28.1,3.7,1904,Hard,No,Occasionally,Freemium,2022,False,True,8,Low,108
193,Codeforces,23.0,4.3,2459,Hard,No,Monthly,Free,2006,True,True,2,High,96
194,LeetCode,4.9,4.3,1430,Hard,Limited,Biweekly,Freemium,2010,True,False,3,Medium,72
195,HackerRank,7.5,3.8,1750,Easy,Yes,Monthly,Freemium,2019,True,True,4,Low,80
196,HackerRank,11.1,4.7,1671,Easy,No,Occasionally,Free,2018,False,True,4,High,87
197,CodeChef,1.3,3.6,3263,Medium,Yes,Occasionally,Free,2019,True,False,2,Low,58
198,Codeforces,20.3,3.8,1582,Varied,No,Biweekly,Free,2005,True,False,6,High,91
199,LeetCode,13.0,3.5,2643,Easy,Limited,Weekly,Paid,2007,False,False,3,Low,74
200,Codeforces,7.8,3.8,3582,Varied,Yes,Biweekly,Free,2007,True,False,8,High,87
201,HackerRank,10.6,3.7,991,Medium,No,Occasionally,Paid,2011,True,True,10,Low,83
202,HackerRank,15.2,4.4,1801,Hard,No,Biweekly,Freemium,2005,True,True,5,Low,91
203,CodeChef,19.2,3.5,1626,Varied,Yes,Weekly,Paid,2008,True,True,5,Medium,99
204,LeetCode,11.9,4.5,817,Easy,No,Monthly,Free,2014,True,True,4,Medium,84
205,Codeforces,13.1,4.1,929,Varied,No,Weekly,Paid,2015,False,False,5,High,83
206,Codeforces,26.4,4.1,2694,Easy,Limited,Occasionally,Freemium,2022,True,True,1,Medium,103
207,LeetCode,9.4,4.3,704,Easy,Yes,Weekly,Paid,2015,True,True,8,Low,96
208,LeetCode,29.6,4.6,3798,Hard,Limited,Occasionally,Paid,2009,True,True,9,High,127
209,Codeforces,17.2,3.7,2856,Medium,Limited,Occasionally,Freemium,2007,True,True,2,High,89
210,Codeforces,11.6,4.3,1592,Varied,Yes,Biweekly,Freemium,2011,False,False,9,Low,97
211,Codeforces,6.2,4.1,1375,Varied,Limited,Weekly,Paid,2022,False,True,7,Low,82
212,CodeChef,16.3,4.2,2770,Varied,Yes,Monthly,Freemium,2015,True,True,8,High,109
213,LeetCode,5.8,4.8,596,Medium,Yes,Weekly,Paid,2014,True,True,9,Medium,100
214,CodeChef,5.8,4.8,2652,Easy,Yes,Occasionally,Freemium,2009,True,False,5,Low,85
215,LeetCode,15.1,3.7,2192,Easy,Limited,Monthly,Freemium,2012,True,False,3,High,83
216,HackerRank,1.9,3.7,3100,Easy,No,Monthly,Freemium,2022,True,False,4,Low,56
217,CodeChef,10.2,4.1,2479,Varied,Yes,Biweekly,Freemium,2006,True,False,5,Low,85
218,Codeforces,29.3,3.6,1624,Easy,Limited,Biweekly,Freemium,2022,False,False,3,Low,100
219,LeetCode,11.9,4.4,1741,Varied,Limited,Occasionally,Free,2015,True,False,4,Low,81
220,LeetCode,18.2,3.7,3766,Hard,Yes,Monthly,Paid,2005,False,False,9,Medium,99
221,LeetCode,17.1,4.2,2893,Varied,Yes,Biweekly,Free,2019,True,False,4,Low,93
222,Codeforces,17.6,4.6,2787,Easy,Limited,Weekly,Free,2011,False,True,8,Low,107
223,Codeforces,4.7,3.7,3755,Varied,No,Weekly,Paid,2021,False,False,4,Medium,62
224,CodeChef,20.2,3.7,1303,Medium,Limited,Weekly,Paid,2013,True,False,5,Low,90
225,CodeChef,3.5,4.2,1650,Hard,Limited,Biweekly,Freemium,2012,False,True,8,High,86
226,CodeChef,4.1,4.5,1192,Medium,Limited,Monthly,Free,2005,False,True,3,Medium,75
227,CodeChef,5.7,4.1,3858,Varied,Yes,Biweekly,Free,2009,True,False,3,High,77
228,CodeChef,27.4,4.9,2091,Easy,Limited,Biweekly,Freemium,2008,True,False,2,Medium,110
229,HackerRank,2.9,4.8,3795,Hard,Yes,Weekly,Paid,2007,False,False,2,Low,74
230,Codeforces,23.3,4.6,984,Medium,Yes,Weekly,Freemium,2015,False,False,9,Low,120
231,CodeChef,9.0,3.5,3818,Medium,No,Occasionally,Freemium,2011,False,True,6,High,78
232,CodeChef,14.6,3.9,1255,Medium,Limited,Biweekly,Free,2016,True,False,10,High,97
233,Codeforces,8.1,4.2,2766,Hard,Limited,Biweekly,Freemium,2016,True,True,10,Medium,95
234,Codeforces,17.9,4.2,3271,Varied,Yes,Biweekly,Free,2022,True,False,9,Low,104
235,LeetCode,27.1,3.6,2454,Medium,Limited,Occasionally,Paid,2007,False,True,2,Low,96
236,HackerRank,28.5,4.9,1685,Medium,Limited,Monthly,Freemium,2017,True,False,5,Medium,117
237,LeetCode,17.3,5.0,892,Hard,Yes,Occasionally,Free,2015,False,True,4,Low,105
238,Codeforces,28.6,4.5,902,Hard,Yes,Monthly,Free,2015,False,True,6,High,125
239,Codeforces,29.9,5.0,2590,Hard,No,Monthly,Freemium,2020,False,False,4,High,115
240,HackerRank,6.5,4.7,3163,Varied,No,Weekly,Free,2019,False,False,4,High,78
241,Codeforces,27.3,3.8,3841,Easy,Limited,Biweekly,Free,2022,True,True,1,Medium,100
242,LeetCode,9.7,3.8,2275,Medium,No,Monthly,Free,2007,False,True,5,High,78
243,CodeChef,10.0,4.4,2651,Easy,No,Monthly,Freemium,2011,True,False,2,High,75
244,HackerRank,6.3,4.8,1404,Medium,Limited,Biweekly,Free,2015,True,True,10,Medium,96
245,CodeChef,12.1,3.8,762,Easy,Yes,Biweekly,Paid,2012,False,True,3,Low,83
246,Codeforces,26.9,4.3,3955,Easy,No,Biweekly,Freemium,2009,False,True,2,Medium,103
247,Codeforces,7.6,3.7,988,Varied,Limited,Occasionally,Free,2019,True,True,6,High,80
248,CodeChef,14.3,4.0,3980,Hard,Yes,Weekly,Paid,2008,True,True,9,Medium,104
249,LeetCode,28.4,3.6,510,Easy,Yes,Weekly,Paid,2017,True,False,6,High,113
250,CodeChef,11.8,4.1,2003,Medium,Limited,Weekly,Freemium,2005,True,False,4,High,87
251,Codeforces,19.0,4.8,2704,Varied,Yes,Weekly,Paid,2014,True,True,1,Medium,104
252,LeetCode,23.1,3.8,868,Hard,No,Occasionally,Freemium,2020,True,True,9,Low,104
253,HackerRank,4.4,4.8,1799,Easy,Yes,Weekly,Free,2018,False,True,8,Medium,97
254,CodeChef,28.3,4.4,3815,Medium,Yes,Occasionally,Paid,2019,True,False,8,High,121
255,CodeChef,17.5,4.3,1576,Hard,Yes,Occasionally,Free,2020,False,True,10,Medium,112
256,Codeforces,16.9,4.0,1919,Medium,Limited,Occasionally,Free,2012,True,False,8,High,96
257,CodeChef,8.4,3.6,1796,Hard,Yes,Weekly,Free,2016,True,False,9,Low,86
258,Codeforces,28.1,4.7,838,Medium,Limited,Biweekly,Free,2006,True,False,10,Low,121
259,LeetCode,25.2,4.9,1748,Medium,No,Monthly,Freemium,2013,False,False,3,Medium,103
260,HackerRank,25.8,4.5,3476,Hard,Yes,Biweekly,Freemium,2005,False,False,5,High,117
261,CodeChef,20.9,4.3,594,Varied,Yes,Occasionally,Paid,2006,True,False,1,Low,91
262,Codeforces,14.0,3.8,3115,Medium,Limited,Weekly,Paid,2017,True,False,9,Medium,92
263,HackerRank,12.4,3.9,1573,Varied,Limited,Biweekly,Freemium,2014,False,False,7,High,90
264,LeetCode,8.8,4.3,2331,Hard,Yes,Monthly,Free,2007,False,True,4,Low,85
265,LeetCode,13.7,4.6,2193,Hard,Limited,Biweekly,Paid,2008,True,False,8,Low,94
266,LeetCode,17.0,4.0,2742,Easy,Yes,Weekly,Free,2022,False,False,1,Medium,88
267,LeetCode,10.7,4.1,1294,Easy,Limited,Biweekly,Paid,2010,True,False,2,Medium,74
268,CodeChef,6.5,4.5,3153,Easy,No,Biweekly,Free,2022,True,True,7,High,85
269,LeetCode,27.7,4.2,3918,Medium,No,Weekly,Paid,2009,True,False,2,High,100
270,CodeChef,9.1,3.6,856,Easy,Limited,Occasionally,Freemium,2011,True,False,4,Medium,73
271,Codeforces,17.3,4.8,2352,Varied,Limited,Biweekly,Free,2020,True,True,1,Low,93
272,CodeChef,25.5,4.1,2220,Varied,No,Biweekly,Freemium,2015,True,True,6,Low,105
273,HackerRank,25.0,4.7,2711,Easy,Limited,Biweekly,Freemium,2020,True,True,1,High,110
274,LeetCode,14.4,5.0,1420,Hard,Limited,Monthly,Free,2014,False,True,10,Low,108
275,CodeChef,27.9,4.5,2439,Easy,No,Weekly,Freemium,2013,True,True,9,High,125
